method,regret_mean,regret_std,ndcg_mean,ndcg_std,runtime_mean,runtime_std
mse,0.009262700596002432,0.0018835759873492529,0.990376030735246,0.0019880252876840147,0.11945225520007625,0.010366059087610666
plfo,0.004505789556322147,0.0005256191444202264,0.9952792564991952,0.0005701567954827942,0.09838468699999794,0.003436862127464389
riplm,0.012488037857769177,0.002234165458585837,0.9870452559804826,0.0023440098371836104,0.10430771920000552,0.002159762547507148
spo+,0.006838015431382826,0.0009054332557211364,0.9928729059763233,0.0009767263092465626,0.10985206699997434,0.005788212080818465
