suite,task,seed,method,lr,tau,regret,opt_acc,decision_cost,opt_cost,runtime_s,n_decisions
structured,ShortestPath,1,mse,0.1,0.2,0.41929059739756896,0.4875,4.119277014692398,3.699986417294828,0.015803531000074145,20
structured,ShortestPath,1,spo+,0.03,0.2,0.5037880432471237,0.46375,4.203774460541951,3.699986417294828,0.021365349000006972,20
structured,ShortestPath,1,plfo,0.03,0.5,0.588050072002114,0.4075,4.2880364892969425,3.699986417294828,0.02494273799993607,20
structured,ShortestPath,1,riplm,0.003,0.1,0.8389368237165976,0.35625,4.538923241011426,3.699986417294828,0.026029441999980918,20
structured,ShortestPath,2,mse,0.1,0.2,0.6529688254967059,0.445,4.395346935284488,3.742378109787783,0.016736547999926188,20
structured,ShortestPath,2,spo+,0.03,0.2,0.6196018001065876,0.47,4.36197990989437,3.742378109787783,0.02172751199987033,20
structured,ShortestPath,2,plfo,0.03,0.5,0.751757273656707,0.42,4.4941353834444895,3.742378109787783,0.0270902219999698,20
structured,ShortestPath,2,riplm,0.003,0.1,1.1108157722243144,0.2975,4.853193882012096,3.742378109787783,0.024621127000045817,20
structured,ShortestPath,3,mse,0.1,0.2,0.5270339651649149,0.42875,4.054676676814394,3.527642711649479,0.015477175999876636,20
structured,ShortestPath,3,spo+,0.03,0.2,0.49238306064133874,0.44875,4.020025772290818,3.527642711649479,0.021134805999963646,20
structured,ShortestPath,3,plfo,0.03,0.5,0.6227475371468278,0.39,4.150390248796307,3.527642711649479,0.02339471200002663,20
structured,ShortestPath,3,riplm,0.003,0.1,0.7303163772074848,0.4,4.257959088856963,3.527642711649479,0.02288665600008244,20
structured,ShortestPath,4,mse,0.1,0.2,0.47268970194531545,0.45,4.08425139152314,3.6115616895778246,0.01515491899999688,20
structured,ShortestPath,4,spo+,0.03,0.2,0.43934495105925253,0.4525,4.050906640637077,3.6115616895778246,0.02045370899986665,20
structured,ShortestPath,4,plfo,0.03,0.5,0.6094000158567618,0.3725,4.220961705434586,3.6115616895778246,0.024114694999980202,20
structured,ShortestPath,4,riplm,0.003,0.1,0.75757636423147,0.3725,4.369138053809295,3.6115616895778246,0.024145465999936278,20
structured,ShortestPath,5,mse,0.1,0.2,0.509029028150821,0.45125,4.218006667799002,3.7089776396481806,0.01586524799995459,20
structured,ShortestPath,5,spo+,0.03,0.2,0.5251773068437263,0.455,4.234154946491907,3.7089776396481806,0.02085566599998856,20
structured,ShortestPath,5,plfo,0.03,0.5,0.5112467706164746,0.4775,4.220224410264655,3.7089776396481806,0.025116126999819244,20
structured,ShortestPath,5,riplm,0.003,0.1,0.8285839157783592,0.37875,4.53756155542654,3.7089776396481806,0.02372091699999146,20
structured,Matching,1,mse,0.03,0.2,0.2677880083301051,0.54,1.8467985719289484,1.5790105635988434,0.014308069000207979,24
structured,Matching,1,spo+,0.03,0.2,0.31182570250975905,0.5175,1.8908362661086022,1.5790105635988434,0.019787785000062286,24
structured,Matching,1,plfo,0.01,0.2,0.4098176790469276,0.47625,1.9888282426457708,1.5790105635988434,0.02365829100017436,24
structured,Matching,1,riplm,0.01,0.5,0.7021001459365803,0.3425,2.2811107095354237,1.5790105635988434,0.023317175999864048,24
structured,Matching,2,mse,0.03,0.2,0.3935040613880447,0.50875,2.230312974671918,1.8368089132838734,0.0145600989999366,24
structured,Matching,2,spo+,0.03,0.2,0.40044973867111894,0.51875,2.237258651954992,1.8368089132838734,0.020064783999941938,24
structured,Matching,2,plfo,0.01,0.2,0.4877613368746509,0.47625,2.324570250158524,1.8368089132838734,0.023619343000063964,24
structured,Matching,2,riplm,0.01,0.5,0.6070152774207079,0.43125,2.443824190704581,1.8368089132838734,0.023299981000036496,24
structured,Matching,3,mse,0.03,0.2,0.28390562206793635,0.48625,2.13086365117252,1.8469580291045837,0.014368706999903225,24
structured,Matching,3,spo+,0.03,0.2,0.33424225228640864,0.44,2.1812002813909923,1.8469580291045837,0.020494986999892717,24
structured,Matching,3,plfo,0.01,0.2,0.3775220705731969,0.43,2.224480099677781,1.8469580291045837,0.023978986999964036,24
structured,Matching,3,riplm,0.01,0.5,0.517389164099937,0.355,2.3643471932045212,1.8469580291045837,0.023722984999949404,24
structured,Matching,4,mse,0.03,0.2,0.4540785829236893,0.39375,2.509770923529912,2.055692340606223,0.014434420000043247,24
structured,Matching,4,spo+,0.03,0.2,0.4312911218415421,0.3975,2.486983462447765,2.055692340606223,0.02007889299989074,24
structured,Matching,4,plfo,0.01,0.2,0.4826292913930284,0.4025,2.5383216319992514,2.055692340606223,0.023871080999924743,24
structured,Matching,4,riplm,0.01,0.5,0.5018430778878848,0.365,2.5575354184941075,2.055692340606223,0.022695601000123133,24
structured,Matching,5,mse,0.03,0.2,0.42099938365990014,0.41125,2.0875327194792157,1.6665333358193157,0.014246350999883362,24
structured,Matching,5,spo+,0.03,0.2,0.3337718576834076,0.45125,2.000305193502723,1.6665333358193157,0.018800129000055676,24
structured,Matching,5,plfo,0.01,0.2,0.43724432862501816,0.395,2.103777664444334,1.6665333358193157,0.023218944999825908,24
structured,Matching,5,riplm,0.01,0.5,0.6467639428162297,0.325,2.3132972786355452,1.6665333358193157,0.02356608100012636,24
structured,Knapsack,1,mse,0.03,0.2,0.3017016574064366,0.515,-7.072954104364069,-7.374655761770507,0.013460287000043536,97
structured,Knapsack,1,spo+,0.01,0.2,0.309131316626341,0.51875,-7.065524445144165,-7.374655761770507,0.02023639699996238,97
structured,Knapsack,1,plfo,0.01,0.1,0.3980762761263902,0.45125,-6.976579485644116,-7.374655761770507,0.030324171000074784,97
structured,Knapsack,1,riplm,0.01,0.5,1.162709261941886,0.1975,-6.2119464998286205,-7.374655761770507,0.028096253000057914,97
structured,Knapsack,2,mse,0.03,0.2,0.30861218955200054,0.50125,-6.6773010071672845,-6.9859131967192845,0.013710147999972833,97
structured,Knapsack,2,spo+,0.01,0.2,0.28923696392027215,0.525,-6.696676232799011,-6.9859131967192845,0.02191660900007264,97
structured,Knapsack,2,plfo,0.01,0.1,0.4511422406235683,0.46375,-6.534770956095716,-6.9859131967192845,0.03236164899999494,97
structured,Knapsack,2,riplm,0.01,0.5,1.2603481143151911,0.1225,-5.725565082404094,-6.9859131967192845,0.030748932999813405,97
structured,Knapsack,3,mse,0.03,0.2,0.2837488532521857,0.48,-6.261833844026063,-6.545582697278248,0.018913100999952803,97
structured,Knapsack,3,spo+,0.01,0.2,0.2751609661720414,0.49125,-6.270421731106207,-6.545582697278248,0.022151734999852124,97
structured,Knapsack,3,plfo,0.01,0.1,0.37771257334546376,0.4425,-6.1678701239327856,-6.545582697278248,0.03177559599998858,97
structured,Knapsack,3,riplm,0.01,0.5,1.099214667921458,0.13625,-5.44636802935679,-6.545582697278248,0.03234812999994574,97
structured,Knapsack,4,mse,0.03,0.2,0.37091903313626867,0.4025,-6.6498725439515285,-7.020791577087798,0.013862622000033298,97
structured,Knapsack,4,spo+,0.01,0.2,0.38163624787733413,0.4375,-6.639155329210463,-7.020791577087798,0.020603048000111812,97
structured,Knapsack,4,plfo,0.01,0.1,0.510503566955048,0.34125,-6.510288010132749,-7.020791577087798,0.031814244999850416,97
structured,Knapsack,4,riplm,0.01,0.5,1.3067436322173518,0.12,-5.714047944870446,-7.020791577087798,0.029674361000161298,97
structured,Knapsack,5,mse,0.03,0.2,0.29570193860956356,0.455,-5.9751154481920965,-6.27081738680166,0.01419927100005225,97
structured,Knapsack,5,spo+,0.01,0.2,0.3191712643189513,0.425,-5.9516461224827095,-6.27081738680166,0.020167298999922423,97
structured,Knapsack,5,plfo,0.01,0.1,0.35931044515970456,0.41375,-5.911506941641956,-6.27081738680166,0.03921984299995529,97
structured,Knapsack,5,riplm,0.01,0.5,0.9547048327390434,0.17625,-5.3161125540626175,-6.27081738680166,0.029653311999936705,97
